symbol,direction,entry_time,exit_time,entry_price,exit_price,gross_return,net_return,holding_hours
CF,long,2022-12-27 13:30:00,2022-12-30 09:00:00,13399.55512212484,13373.366207696576,-0.001954461486935677,-0.002354461486935677,67.5
CF,long,2022-12-30 21:00:00,2023-01-12 13:30:00,13377.842753420846,13457.399609889011,0.005946912214065403,0.005546912214065403,304.5
CF,long,2023-01-18 13:30:00,2023-02-06 13:30:00,13872.948369064701,13908.313421746823,0.00254920956535698,0.00214920956535698,456.0
CF,short,2023-02-10 13:30:00,2023-02-21 13:30:00,13635.933651057345,13587.756097807149,0.003533131979302384,0.003133131979302384,264.0
CF,short,2023-02-28 09:00:00,2023-03-01 21:00:00,13466.58830900725,13553.017055841616,-0.006418013594174932,-0.006818013594174932,36.0
CF,long,2023-03-02 21:00:00,2023-03-08 09:00:00,13630.492711227445,13752.380412351426,0.008942281376489225,0.008542281376489226,132.0
CF,short,2023-03-13 13:30:00,2023-03-16 09:00:00,13424.529040138776,13319.349417340803,0.007834883628579425,0.007434883628579425,67.5
CF,short,2023-03-16 13:30:00,2023-03-28 13:30:00,13152.798160913913,13367.740242634542,-0.016341928089444124,-0.016741928089444125,288.0
CF,long,2023-03-29 21:00:00,2023-04-03 09:00:00,13430.147656093894,13573.200779545781,0.01065164189665313,0.01025164189665313,108.0
CF,long,2023-04-06 13:30:00,2023-04-21 13:30:00,13548.045129888751,13807.184272367014,0.019127419490696074,0.018727419490696073,360.0
CF,long,2023-04-26 09:00:00,2023-05-09 21:00:00,14085.658951625735,14751.404633201797,0.047264077872567256,0.04686407787256726,324.0
CF,long,2023-05-17 09:00:00,2023-05-24 21:00:00,14677.606188136571,15001.871714938397,0.022092534889232684,0.021692534889232683,180.0
CF,long,2023-06-01 21:00:00,2023-06-12 13:30:00,14330.748380541609,15471.527647193623,0.07960360731760341,0.07920360731760341,256.5
CF,long,2023-06-16 09:00:00,2023-06-19 13:30:00,15608.191097995923,15374.78679075846,-0.014953962683570077,-0.015353962683570076,76.5
CF,short,2023-06-27 09:00:00,2023-06-30 13:30:00,15060.284869097353,15530.661346259969,-0.031232907030051882,-0.03163290703005188,76.5
CF,long,2023-07-03 21:00:00,2023-07-12 09:00:00,15485.04801765826,15960.834883768352,0.03072556607945498,0.03032556607945498,204.0
CF,long,2023-07-12 13:30:00,2023-07-17 13:30:00,15981.602203253093,15724.254224880737,-0.016102764610169795,-0.016502764610169796,120.0
CF,long,2023-07-24 09:00:00,2023-08-03 13:30:00,15833.290888830936,15879.375856756255,0.002910637355739265,0.002510637355739265,244.5
CF,short,2023-08-07 09:00:00,2023-08-07 13:30:00,15885.72650365698,15981.12441135795,-0.006005259355246206,-0.0064052593552462065,4.5
CF,short,2023-08-16 13:30:00,2023-08-23 13:30:00,15703.084735470802,15700.648001824402,0.00015517547586663127,-0.00024482452413336875,168.0
CF,long,2023-08-25 13:30:00,2023-09-04 21:00:00,15953.203466729148,16456.299694560585,0.031535749473806884,0.031135749473806883,247.5
CF,long,2023-09-05 09:00:00,2023-09-07 13:30:00,16125.295077690174,15783.695856360036,-0.02118406017901342,-0.02158406017901342,52.5
CF,short,2023-09-08 21:00:00,2023-09-15 21:00:00,15829.337105282559,15795.403662012995,0.0021437058951911947,0.0017437058951911947,168.0
CF,long,2023-09-27 21:00:00,2023-10-10 13:30:00,15873.174200547086,15851.45597106637,-0.0013682348096429875,-0.0017682348096429875,304.5
CF,short,2023-10-11 21:00:00,2023-10-26 09:00:00,15783.542311367866,14817.091744402036,0.061231537756246124,0.060831537756246126,348.0
CF,short,2023-10-31 13:30:00,2023-11-13 09:00:00,14410.120742655534,14409.084313958387,7.192366501684866e-05,-0.00032807633498315136,307.5
CF,short,2023-11-13 13:30:00,2023-11-16 09:00:00,14324.826499505114,14427.946275263468,-0.007198675373968122,-0.007598675373968122,67.5
CF,short,2023-11-21 13:30:00,2023-11-30 13:30:00,13989.177146621561,14000.846566026481,-0.0008341748254820924,-0.0012341748254820924,216.0
CF,long,2023-12-07 21:00:00,2023-12-14 09:00:00,14219.692800989571,14463.140018711862,0.017120427362913748,0.016720427362913747,156.0
SC,long,2022-01-12 09:00:00,2022-01-17 00:00:00,316.8023859195195,322.0111828713511,0.01644178574196342,0.01604178574196342,111.0
SC,long,2022-01-17 09:00:00,2022-01-21 13:30:00,326.360419902099,326.55494838164867,0.0005960541404133046,0.0001960541404133046,100.5
SC,long,2022-01-27 00:01:00,2022-01-28 21:00:00,333.94680194825224,335.13723262997763,0.003564731492502471,0.0031647314925024707,44.983333333333334
SC,long,2022-02-07 13:30:00,2022-02-09 21:00:00,345.40941076345655,334.68726266092676,-0.03104185285175254,-0.031441852851752536,55.5
SC,long,2022-02-14 09:00:00,2022-02-16 00:01:00,349.9626676120302,336.04865722688896,-0.039758556191388794,-0.04015855619138879,39.016666666666666
SC,long,2022-02-22 00:01:00,2022-02-28 09:00:00,351.2512384708981,371.61784511500633,0.0579830173205087,0.0575830173205087,152.98333333333332
SC,long,2022-03-02 00:01:00,2022-03-10 00:01:00,394.4741082562392,454.98826266275785,0.15340462945469246,0.15300462945469245,192.0
SC,short,2022-03-15 00:01:00,2022-03-18 00:01:00,391.84555911037825,394.71167204254635,-0.007314394320750095,-0.007714394320750095,72.0
SC,long,2022-03-22 00:01:00,2022-03-28 13:30:00,432.3950443844682,441.4373511622437,0.020912142484536655,0.020512142484536654,157.48333333333332
SC,short,2022-04-01 09:00:00,2022-04-07 00:00:00,409.50441164947347,404.8367237885484,0.011398382357161285,0.010998382357161286,135.0
SC,short,2022-04-07 09:00:00,2022-04-11 09:00:00,393.6108825834868,388.8684825440688,0.012048447462354117,0.011648447462354118,96.0
SC,long,2022-04-15 09:00:00,2022-04-20 00:01:00,427.05682235960603,414.02674552603855,-0.03051134217121909,-0.030911342171219092,111.01666666666667
